,chrom,description,end,geneSymbol,start
0,chr1,"Homo sapiens DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 1 (DDX11L1), non-coding RNA.",14409,DDX11L1,11873
1,chr1,"Homo sapiens olfactory receptor, family 4, subfamily F, member 5 (OR4F5), mRNA.",70008,OR4F5,69090
2,chr1,"Homo sapiens piRNA piR-59592, complete sequence.",228155325,DQ597235,321083
3,chr1,"Homo sapiens piRNA piR-42430, complete sequence.",228155417,DQ599768,321145
4,chr1,"Homo sapiens uncharacterized LOC100132062 (LOC100132062), non-coding RNA.",180755196,LOC100132062,323891
5,chr1,"Homo sapiens uncharacterized LOC100133331 (LOC100133331), non-coding RNA.",180753553,LOC100133331,322036
6,chr1,"Homo sapiens cDNA FLJ45445 fis, clone BRSSN2013696.",180755054,LOC388312,327545
7,chr1,"Homo sapiens olfactory receptor, family 4, subfamily F, member 29 (OR4F29), mRNA.",622034,OR4F29,367658
8,chr1,Homo sapiens cDNA clone IMAGE:5268125.,180848396,BC036251,420205
9,chr1,Method for predicting functional sites of RNA from its sequence.,568913,M37726,568843
10,chr1,"Homo sapiens uncharacterized LOC643837 (LOC643837), transcript variant 1, non-coding RNA.",794826,LOC643837,762970
11,chr1,"Homo sapiens cDNA FLJ31924 fis, clone NT2RP7005468.",850328,AK056486,846814
12,chr1,"Homo sapiens sterile alpha motif domain containing 11 (SAMD11), mRNA.",879961,SAMD11,860529
13,chr1,"Homo sapiens kelch-like family member 17 (KLHL17), mRNA.",901099,KLHL17,895966
14,chr1,"Homo sapiens pleckstrin homology domain containing, family N member 1 (PLEKHN1), transcript variant 1, mRNA.",910484,PLEKHN1,901876
15,chr1,"Homo sapiens ISG15 ubiquitin-like modifier (ISG15), mRNA.",949919,ISG15,948846
16,chr1,"Homo sapiens agrin (AGRN), mRNA.",991499,AGRN,955502
17,chr1,"Homo sapiens cDNA, FLJ17392.",997436,AK310350,995082
18,chr1,Homo sapiens cDNA clone IMAGE:5286066.,1001833,BC033949,995116
19,chr1,"Homo sapiens uncharacterized LOC254099 (LOC254099), non-coding RNA.",1079434,LOC254099,1072396
20,chr1,"Homo sapiens microRNA 200b (MIR200B), microRNA.",1102578,MIR200B,1102483
21,chr1,"Homo sapiens microRNA 200a (MIR200A), microRNA.",1103332,MIR200A,1103242
22,chr1,"Homo sapiens microRNA 429 (MIR429), microRNA.",1104467,MIR429,1104384
23,chr1,"Homo sapiens tubulin tyrosine ligase-like family, member 10 (TTLL10), transcript variant 1, mRNA.",1133313,TTLL10,1109285
24,chr1,"Homo sapiens UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6 (B3GALT6), mRNA.",1170420,B3GALT6,1167628
